Ventilador De Mesa Arno Vf Preto E Pás De Cor Prata, 50cm De Diâmetro 127v
Usa papel ou tem filtro incorporado?,"Olá, Esse modelo possui o filtro permanente e não é necessário utilizar filtro de papel."
Ola  ela mantem o café quente após o preparo? o sistema é como as cafeteiras italianas ?,"Olá, Esse modelo possui o café aquecido enquanto estiver na tomada. Indicamos que mantenham até 04 h ligada. Ela lembra uma cafeteira italiana, mas possui funcionamentos diferentes. A água é colocada no reservatório na parte de debaixo, ao esquentar a água sobe pelo filtro passando pelo café e enviando o café pronto a outro reservatório que possui uma chapa para manter o café em aquecimento. O seu preparo é feito diretamente na tomada."
Ok obrigado,"Disponha! Eventuais duvidas, estamos à disposição!"
Boa tarde da para usar filtro de papel??,"Olá, Esse modelo possui filtro permanente, não é necessário utilizar filtro de papel. E o cesto do filtro é tamanho pequeno e não há modelo totalmente compatível para encaixe e uso."
Boa noite amigo o pò fica nesta parte embaixo da agua,"Olá, O pó fica na filtro permanente na parte superior e água vai na parte de baixo. Segue imagens do produto para verificação: https://www.hamiltonbeach.com.br/43700BZ.html"
eu vi que é revestida de plástico  e por dentro é que material?,"Olá, O produto é de plástico e a chapa de aquecimento é de inox."
Ela tem cabo que leva na tomada?,"Olá, Sim, o produto possui o fio e vai na tomada normalmente."
boa noite ela e elétrica? e como e o funcionamento dela,"Olá, Sim, a cafeteira é elétrica. Segue vídeo do funcionamento para melhor auxiliar: https://www.hamiltonbeach.com.br/43700BZ.html"
Foi a Preto e Branco,"Olá, Em que podemos auxiliar?"
olá ela é de tomada  normal ou carrega no usb . acompanhando filtro já  ou não??? pra esquentar  o café   tem que por ela na tomada ou ela é de bateria de lítio,"Olá, Não possuímos modelo recarregável, ela vai na tomada normalmente. Já possui o filtro permanente que acompanha o produto. Para esquentar é necessário ir na tomada."
VC TEM PRONTA ENTREGA.  COMPRANDO AGORA VC MANDA AMANHÃ SEM FALTA.,"Olá, Sim, possuímos disponibilidade para pronta entrega. Referente ao envio depende da localidade, algumas exigem o trâmite de pagamento de guia de imposto e levam um tempo há mais para ocorrer o envio. Podemos priorizar o processo assim que a compra for realizada."
da conta xícara,"Olá, Em que podemos auxiliar?"
ola toner HP 508x se tiver preciso de todas as cores,"Olá, Nossa marca trabalha apenas com eletroportáteis, indicamos verificar a disponibilidade com a loja de compra ou a marca do item desejado."
ola tudo bem vc sinda tem,"Olá, Sim, possuímos disponibilidade para pronta entrega."
boa tarde ainda tem este produto https://produto.mercadolivre.com.br/MLB-887794711-toner-hp-cf360x-hp-508x-preto-m553dn-,"Olá, O link está desativado, infelizmente não é possível verificar qual modelo."
mantem o café quente mesmo? precisa ficar ligada?,"Olá, Sim, esse produto mantem o café quente enquanto estiver ligada. Indicamos mante-la ligada no máximo de 04 horas para que não haja alteração no aroma do café."
mantem o café quente e precisa ficar ligada°,"Olá, Sim, o produto manterá o café em aquecimento enquanto estiver ligada."
essa cafeteria e  elétrica  .Boa noite,"Olá, Sim, essa cafeteira é elétrica."
oi  tudo bem? vc tem previsão de quando terá de novo a colcha de casal terrazzo/,"Olá, Nossa marca possui apenas eletroportáteis. Indicamos verificar com a loja ou com a marca para obter auxilio com esse produto."
Boa noite ela é igual a outra cafeteira eu comprei 2 da outra e excelente,"Olá, Qual modelo foi adquirido anteriormente?"
Boa tarde! Acabo de efetuar a compra e o pagamento via boleto.Gostaria que vocês acrescentasse o número do meu apartamento pois sempre dá problemas.Torre 25  apartamento 504. Grata pela atenção!!,"<p style="display: inline-block;font-family:Helvetica,Arial,'sans-serif';font-size:13px;line-height:17px;background: url('http://static.mlstatic.com/org-img/ch/ui/0.10.7/assets/icons.png') no-repeat;border-radius: 3px;border-style: solid;border-width: 1px;margin: 0 0 5px;padding: 8px 10px 8px 34px;text-shadow: 0 1px 0 rgba(255, 255, 255, 0.5);background-color: #FCF8CB;background-position: -225px -101px;border-color: #E4E2B8;">Tivemos que excluir esta resposta porque não está de acordo com as nossas <a href="https://www.mercadolivre.com.br/ajuda/politicas-para-cadastramento-de-produtos_1002">Políticas para Cadastramento de Anúncios</a>.</p>"
Obrigada.,"Eventuais duvidas, estamos à disposição!"
Boa tarde. Acabei de comprar uma e gostaria de saber quanto tempo ela tem de garantia. Obrigada.,"<p style="display: inline-block;font-family:Helvetica,Arial,'sans-serif';font-size:13px;line-height:17px;background: url('http://static.mlstatic.com/org-img/ch/ui/0.10.7/assets/icons.png') no-repeat;border-radius: 3px;border-style: solid;border-width: 1px;margin: 0 0 5px;padding: 8px 10px 8px 34px;text-shadow: 0 1px 0 rgba(255, 255, 255, 0.5);background-color: #FCF8CB;background-position: -225px -101px;border-color: #E4E2B8;">Tivemos que excluir esta resposta porque não está de acordo com as nossas <a href="https://www.mercadolivre.com.br/ajuda/politicas-para-cadastramento-de-produtos_1002">Políticas para Cadastramento de Anúncios</a>.</p>"
mantém o café aquecido ?,"Olá, Esse modelo mantem o café aquecido enquanto estiver ligada na tomada."
Pq vc não devolveu meu dinheiro ainda? Quer vender um produto que não tem e prejudica os clientes. Devolva dinheiro que eu quero comprar outra banheira inflável da Intex  e nunca mais da OLIST. Vou ficar mandando mensagens em todos os seus produtos até o ML me estornar. NÃO RECOMENDO  A COMPRA PELA OLIST  PENSEM DUAS VEZES ANTES DE COMPRAR  QUANDO TIVEREM PROBLEMAS O VENDEDOR NÃO RESPONDE O CLIENTE PAUSA O ANÚNCIO E FICA FAZENDO "CERIMÔNIA" PARA RESOLVER E A DEVOLUÇÃO,"<p style="display: inline-block;font-family:Helvetica,Arial,'sans-serif';font-size:13px;line-height:17px;background: url('http://static.mlstatic.com/org-img/ch/ui/0.10.7/assets/icons.png') no-repeat;border-radius: 3px;border-style: solid;border-width: 1px;margin: 0 0 5px;padding: 8px 10px 8px 34px;text-shadow: 0 1px 0 rgba(255, 255, 255, 0.5);background-color: #FCF8CB;background-position: -225px -101px;border-color: #E4E2B8;">Tivemos que excluir esta resposta porque não está de acordo com as nossas <a href="https://www.mercadolivre.com.br/ajuda/politicas-para-cadastramento-de-produtos_1002">Políticas para Cadastramento de Anúncios</a>.</p>"
Boa tarde a jarra dessa cafeteira e inox e a cafeteira e automática?,"Olá, A jarra é de plástico e esse modelo não possui desligamento automático."
Boa tarde  Tem a opção 220????,"Olá, Segue anúncio na voltagem 220v: https://produto.mercadolivre.com.br/MLB-1214214715-cafeteira-eletrica-hamilton-beach-43700bz-1l-vermelha-220v-_JM?quantity=1&variation=45642847126#position=24&type=item&tracking_id=41ca8281-1d55-4b9e-b979-26616405f8a1"
e elétrica,"Olá, Sim, é elétrica."
vem com filtro,"Olá, Sim, esse modelo acompanha o filtro permanente."
tem como ver por dentro,"<p style="display: inline-block;font-family:Helvetica,Arial,'sans-serif';font-size:13px;line-height:17px;background: url('http://static.mlstatic.com/org-img/ch/ui/0.10.7/assets/icons.png') no-repeat;border-radius: 3px;border-style: solid;border-width: 1px;margin: 0 0 5px;padding: 8px 10px 8px 34px;text-shadow: 0 1px 0 rgba(255, 255, 255, 0.5);background-color: #FCF8CB;background-position: -225px -101px;border-color: #E4E2B8;">Tivemos que excluir esta resposta porque não está de acordo com as nossas <a href="https://www.mercadolivre.com.br/ajuda/politicas-para-cadastramento-de-produtos_1002">Políticas para Cadastramento de Anúncios</a>.</p>"
gostaria de ver mais detalhes da cafeteira duas fotos é pouco,"<p style="display: inline-block;font-family:Helvetica,Arial,'sans-serif';font-size:13px;line-height:17px;background: url('http://static.mlstatic.com/org-img/ch/ui/0.10.7/assets/icons.png') no-repeat;border-radius: 3px;border-style: solid;border-width: 1px;margin: 0 0 5px;padding: 8px 10px 8px 34px;text-shadow: 0 1px 0 rgba(255, 255, 255, 0.5);background-color: #FCF8CB;background-position: -225px -101px;border-color: #E4E2B8;">Tivemos que excluir esta resposta porque não está de acordo com as nossas <a href="https://www.mercadolivre.com.br/ajuda/politicas-para-cadastramento-de-produtos_1002">Políticas para Cadastramento de Anúncios</a>.</p>"
café teracom rarra,"Olá, Em que podemos auxiliar?"
Cuidado. A empresa recebe o dinheiro e não  entrega o produto.,"Olá, O envio do produto é realizado via correios mediante ao pagamento aprovado. Se efetuaram a compra e ainda não receberam o produto, solicitamos a gentileza de nos informar o nome do comprador para identificarmos o que ocorreu. Desde já pedimos desculpas pelo desconforto causado!"
Vcs tem essa 220v?,"Olá, Segue anúncio na voltagem 220v: https://produto.mercadolivre.com.br/MLB-1214214715-cafeteira-eletrica-hamilton-beach-43700bz-1l-vermelha-220v-_JM?searchVariation=45642847126&quantity=1&variation=45642847126#position=43&type=item&tracking_id=f8fe84ad-4b87-444b-8b3c-4c0b0fa73c43"
olá! Tudo bem? vi que tem um anúncio pausado seu de um Jack para music man  vc tera mais dele?,"<p style="display: inline-block;font-family:Helvetica,Arial,'sans-serif';font-size:13px;line-height:17px;background: url('http://static.mlstatic.com/org-img/ch/ui/0.10.7/assets/icons.png') no-repeat;border-radius: 3px;border-style: solid;border-width: 1px;margin: 0 0 5px;padding: 8px 10px 8px 34px;text-shadow: 0 1px 0 rgba(255, 255, 255, 0.5);background-color: #FCF8CB;background-position: -225px -101px;border-color: #E4E2B8;">Tivemos que excluir esta resposta porque não está de acordo com as nossas <a href="https://www.mercadolivre.com.br/ajuda/politicas-para-cadastramento-de-produtos_1002">Políticas para Cadastramento de Anúncios</a>.</p>"
----
Piscina Estrutural Botafogo Pis0631 Retangular 320cm De Comprimento X 164cm De Largura
Question,Answer
Boa tarde vc tem a pronta entrega?,"Bom dia, Sim, temos o produto no estoque para pronta entrega. Dúvidas referentes ao valor do frete e prazo de entrega são esclarecidas após o preenchimento do CEP no próprio anúncio. Aguardamos o seu pedido. Att, Equipe."
Olá Boa tarde! Vcs tem a tampa e a lona de baixo pra por na piscina?Tudo no kit só?,"Bom dia, Infelizmente não. Att, Equipe."
a piscina já vem com armação?,"Boa tarde, A estrutura vai junto com a piscina desmontado na caixa. Att, Equipe."
Olá.. teria a capa de proteção pra essa piscina?,"Boa tarde, Infelizmente não. Att, Equipe."
Boa tarde ela é de PVC por dentro e de lona por fora  assim se ouver algum furo ela não vasaria é isso? Ou somente lona?,"lona em PVC lisa azul, reforçada"
boa noite. A piscina vem com as entradas pra uma bomba circular a água?,"Bom dia, Infelizmente não. Att, Equipe."
filtragem,"Tem canal de filtragem sim !"
olá   ela tem entrada e saída para colocar o filtro ??,"Sim"
Oi bom dia vcs vendem a capa para feicha?,"Bom dia, Infelizmente não. Att, Equipe."
já vem com capa?,"Bom dia, Infelizmente não. Att, Equipe."
Boa noite vc. tem forro para colocar em baixo da piscina,"Não temos !!"
Adulto pode toma banho,"Sim"
Vc tem piscina de 5 mil litros já com a bomba nesse estilo mesmo retangular,"Temos apenas de 6200 litros e não acompanha a bomba. Aguardamos seu pedido."
Oi eu preciso do número de vocês pois me mandaram uma mensagem perguntando se a minha chegou e não chegou,"Boa tarde, Informações sobre pedido realizados é via chat, fica dentro do pedido de compra. Att, Equipe."
Oi Boa tarde sim eu preciso saber me mandaram 3 mensagem peruntando meu endereço eu respondi não recebi mensagem de resposta e depois me mandaram perguntado se minha encomenda chegou mais ela ainda não chegou,"Boa tarde, Informações sobre pedido realizados é via chat, fica dentro do pedido de compra. Att, Equipe."
Por quê vocês manda mensagem e não responde,"Boa tarde, Em que podemos lhe ajudar? Estamos a disposição. Att, Equipe."
Olá essa piscina tem entrada para filtro ?,"Olá. A piscina não tem suporte para filtro. Aguardamos seu pedido."
MG5 PRATA,"Aguardamos seu pedido"
Boa tarde vcs tem da msm marca de 5.000 litros?,"Boa tarde. Não temos. Agradecemos o interesse."
boa tarde qual valor do cep 46770000,"Boa tarde. O valor do frete pode ser consultado através do próprio anúncio. Aguardamos o seu pedido."
bom dia quantos mil litros tem,"Bom dia. Tem 3.000 litros. Aguardamos seu pedido."
essa piscina de 259.90 ela e de 3000 litro,"Está tudo escrito no anúncio. Aguardamos seu pedido."
Profundidade,"As medidas do produto estão na descrição. Aguardamos seu pedido."
quantos litros?,"Está escrito no título e na descrição do produto. Aguardamos seu pedido."
Boa tarde essa piscina vem pelos Correios?,"Boa tarde. Mandamos pelos Correios ou pela transportadora. Aguardamos seu pedido."
Oxe perdi meu dinheiro,"Se informe com o próprio Mercado livre."
Vou pega uma dessa c vc,"Temos a pronta entrega. Aguardamos seu pedido."
N sei como entra em contato os 120 o mercado devolveu mas o frete 89 perdi,"Infelizmente não há nada que possamos fazer para ajudar. Isso não é para ser tratado com o Mercado Livre."
Ola  essa piscina tem entrada para bomba e filtro ?,"Olá, bom dia. O produto não tem suporte para filtro. Aguardamos seu pedido."
A medida da largura já é com a estrutura de sustentação de fora?,"Sim é. Aguardamos seu pedido."
No anúncio tem PAC grátis  mas demora muito...,"A forma de envia é padrão do Mercado Livre. Aguardamos seu pedido."
Consegue sedex grátis? Para 28915340,"A forma de envia é padrão do Mercado Livre. Aguardamos seu pedido."
estão postando?,"Sim, estamos postando. Aguardamos seu pedido."
estão postando?,"Sim, estamos postando. Aguardamos seu pedido."
Ela tem entrada para filtro,"O produto não tem suporte a filtro. Aguardamos seu pedido."
e de 3000 mil litros essa piscina,"Olá amigo, Sim, é de 3000 Litros. Aguardamos o seu pedido."
Essa sua tá de qnto ?,"O preço e a capacidade você pode ver no próprio anúncio. Aguardamos seu pedido."
se houver furo lona sabe se ha como remendar? igual pneu moto,"Bom dia amigo, Sim, é possível realizar este remendo, mas informo que o produto vai com um pedaço de lona extra para caso ocorra esses furos inesperados. Aguardamos o seu pedido."
Oxe ele.me bloqueou,"Procure pelo próprio Mercado Livre para obter ajuda."
oi Boa,"Olá, boa tarde. Verifique com seu vendedor via chat."
E entreguei pelo mercado livre? Pq semana passada comprei uma.e n chegou,"Verifique com seu vendedor."
esse material é bom,"Sim, o Produto tem uma ótima qualidade, tem uma ótima avaliação entre os nossos Clientes, e vai com garantia e nota fiscal. Aguardamos o seu pedido."
oi ela e 3 litros e,"Sim o produto é 3.000 litros. Aguardamos seu pedido."
Valor para o cep 87114552,"Favor verificar o frete no próprio anúncio, você terá que inserir o seu CEP no campo solicitado e terá automaticamente o seu frete calculado. Aguardamos o seu pedido."
Valor para o cep 87114552,"Favor verificar o frete no próprio anúncio, você terá que inserir o seu CEP no campo solicitado e terá automaticamente o seu frete calculado. Aguardamos o seu pedido."
qual o tamanho da pi,"As medidas do produto se encontra na descrição do anúncio. Aguardamos seu pedido."
----
Pendrive Sandisk Cruzer Blade 32gb Preto/vermelho
Question,Answer
Boa tarde vc vende tx9,"<p style="display: inline-block;font-family:Helvetica,Arial,'sans-serif';font-size:13px;line-height:17px;background: url('http://static.mlstatic.com/org-img/ch/ui/0.10.7/assets/icons.png') no-repeat;border-radius: 3px;border-style: solid;border-width: 1px;margin: 0 0 5px;padding: 8px 10px 8px 34px;text-shadow: 0 1px 0 rgba(255, 255, 255, 0.5);background-color: #FCF8CB;background-position: -225px -101px;border-color: #E4E2B8;">Tivemos que excluir esta resposta porque não está de acordo com as nossas <a href="https://www.mercadolivre.com.br/ajuda/politicas-para-cadastramento-de-produtos_1002">Políticas para Cadastramento de Anúncios</a>.</p>"
Comprei paguei e não recebi.,"Boa tarde, Acredito que sua compra foi confirmada para nós hoje e já foi postada."
Não tem como pq nem histórico de compra foi feito pelo site de venda,"Bom dia, esse campo é para dúvidas relacionadas o produto, não temos acesso a pedidos já realizados, por isso peço que entre em contato pelo campo de mensagens da compra. Att,"
preciso fala com algum responsável sobre produto não recebido,"Bom dia, entrar em contato pelo campo de mensagens da compra. Att,"
Quanto q fica pra esse Cep 02713000,"Boa tarde Para cálculos do valor de entrega, e preciso que no ato da compra calcule direto da plataforma. Estamos a disposição."
vc tem pen drive de 128 gigas dessa mesma marca?? quanto está??,"Bom dia Temos sim, sugiro que faça essa compra em nosso site: https://collorshop.com/pen-drives/969-pen-drive-sandisk-128gb-cruzer-blade-z50-sdcz50-128g-b35-0619659125905.html Estamos a disposição."
oi  qual a velocidade de leitura dele?,"Olá, A velocidade de escrita é de 5,5 MB/s. Para leitura de dados, o dispositivo oferece até 10 MB/s Att,"
----
Fritadeira Sem Óleo Agratto Silver Vermelha 110v
Question,Answer
gostaria de saber sobre o tempo de entrega. está dando muito tempo. 76.801-246,"Bom dia, Dúvidas referentes ao valor do frete e prazo de entrega são esclarecidas após o preenchimento do CEP no próprio anúncio. Aguardamos o seu pedido. Att, Equipe"
O que cabe nela  é  pequena  qtas coxas de frango?,"Boa tarde, A capacidade da fritadeira é de 2,5l. Att, Equipe."
O que cabe dentro dela  qtas coxinhas de Frango?,"Boa tarde, A capacidade da fritadeira é de 2,5l. Att, Equipe."
quero na cor vermelha,"É a que temos disponível !"
Qual valpr do frete para para cep 36047-260?,"Bom dia, Dúvidas referentes ao valor do frete e prazo de entrega são esclarecidas após o preenchimento do CEP no próprio anúncio. Aguardamos o seu pedido. Att, Equipe"
tem vermelha e entrega que dia entrega,"Boa tarde, Dúvidas referentes ao valor do frete e prazo de entrega são esclarecidas após o preenchimento do CEP no próprio anúncio. Aguardamos o seu pedido. Att, Equipe"
Voces estao entregando normalmente,"Boa tarde, Dúvidas referentes ao valor do frete e prazo de entrega são esclarecidas após o preenchimento do CEP no próprio anúncio. Estamos entregando normalmente. Aguardamos o seu pedido. Att, Equipe"
tem vermelha,"Boa tarde. Sim, esse item já é na cor vermelha. Att, Equipe."
ai mostra    2003 reais    quero saber se   eu for na loja compro pelo mesmo  valor?,"Boa tarde, Infelizmente não temos acesso aos valores praticados em loja. Att, Equipe."
quantos litros,"Bom dia, A Fritadeira possui 2,5l. Att, Equipe."
quantos litros tem,"Bom dia, A Fritadeira possui 2,5l. Att, Equipe."
posso fritar coxinha de frango?,"Bom dia. Pode sim. Att, Equipe."
quanto litros ela cabe,"Bom dia, A fritadeira possui 2,5l. Att, Equipe."
Valor do frete,"Bom dia, Dúvidas referentes ao valor do frete e prazo de entrega são esclarecidas após o preenchimento do CEP no próprio anúncio. Aguardamos o seu pedido. Att, Equipe"
Qnts litro,"Bom dia. A fritadeira possui 2,5l. Att, Equipe."
Eu gostaria de saber se o frete vai sair grátis pq eu tenho frete grátis nas compras acima de 200 00,"Olá amigo, Por favor, referente ao benefício de frete grátis é tratado diretamente com o mercado livre, para maiores informações por favor verifique o com o mercado livre. Obrigado"
se caso haja algum defeito tenho quanto tempo p trocar?,"Não, são 7 dias para troca."
Frete,"Olá amigo, Favor verificar o Frete no próprio anúncio, você terá que inserir o seu CEP no campo solicitado e terá automaticamente o seu Frete calculado. Aguardamos o seu pedido"
Qual é o valor do frete para 05055-050,"Olá amigo, Favor verificar o Frete no próprio anúncio, você terá que inserir o seu CEP no campo solicitado e terá automaticamente o seu Frete calculado. Aguardamos o seu pedido"
ola quantos litros,"Tem 2,5 litros. Aguardamos seu pedido."
O valor da vermelha é esse mesmo o frete é grátis,"Favor consultar os valores do produto e frete diretamente no anúncio. Aguardamos seu pedido."
O frete da vermelha é gratis,"Boa tarde. Referente ao benefício de frete grátis é tratado diretamente com o mercado livre, para maiores informações por favor verifique o com o mercado livre. Obrigado!"
Ola boa tarde comprando hoje quando e que chega,"Boa tarde. Favor verificar o prazo de entrega no próprio anúncio. Lembrando que tem a possibilidade do produto chegar antes do prazo estipulado. Aguardamos seu pedido."
como sei se o alimento está pronto? vem com receitas,"Basta setar a temperatura e o tempo no produto e respectivos aos alimentos e respeitar o processo de cocção. Não acompanha livro de receitas. Aguardamos seu pedido."
----
Medidor De Pressão Arterial Omron Hem-7122
Question,Answer
Esse aparelho e de braço,"Ola, boa tarde. Sim este aparelho é medidor de braço."
É aferido pelo inmetro? Obg,"Sim"
gostaria de saber o tamanho da braçadeira,"Braçadeira Padrão (22 - 42 cm)"
à bateria ou pilha?,"Olá, boa tarde! Somente a pilha."
Boa tarde amigo  mim diz o teu zap  quero negociar contigo uma grande quantidade  se for possível  claro!,"Olá, boa tarde! Somente trabalhamos com o valor já ofertado. Qualquer dúvida ficamos à disposição"
Boa tarde que tamanho e a bateria deli ela e palitos e ????,"Olá, boa tarde! 4 pilhas AA"
Obrigada,"Ola, boa tarde! Qualquer dúvidas ficamos à disposição."
Serve também para pessoas obesas?,"Olá, boa tarde! Se a braçadeira servir sim Braçadeira Universal (22 - 42 cm)"
ele tem carregador de energia,"Olá, bom dia! Somente a pilhas."
Boa noite. Qual a medida dele para colocar no braço? Obrigada. Aline,"Braçadeira Padrão (22 - 42 cm)"
Como usar esse aparelho,"Olá, boa tarde! Basta utilizar seu manual. Qualquer dúvida ficamos à disposição."
Como usar esse aparelho,"Olá, boa tarde! Basta utilizar seu manual. Qualquer dúvida ficamos à disposição."
Qual é o valor do frete 07703025,"Olá, boa tarde! Basta inserir seu CEP e adicionar os produtos desejados. O sistema irá lhe informar o valor do frete e tempo de entrega. Qualquer dúvida ficamos à disposição."
Bom dia  é de pulso ou é de braço ? Quero o de braço,"Olá, é o de braço. Obrigado."
Este aparelho não tem a garantia de fábrica de 5 anos? Vem com nota fiscal?,"Olá, bom dia! Tem sim são 5 anos contra defeitos de fabrica nos materiais utilizados. O produto acompanha nota fiscal. Qualquer dúvida ficamos à disposição,"
Roque Faustino Pereira,"Olá, bom dia! Não encontramos nenhum pedido com esse nome em nosso sistema. Poderia verificar se este pedido foi realizado em nossa loja? O pagamento foi aprovado?"
Número do pedido : 2333093210,"Olá, boa tarde! Como está o nome de cadastro?"
Exatamente  ja li tudo e nao vem descrito a largura da bracadeira. e eu so preciso disso .,"Olá, boa tarde! Braçadeira Padrão (22 - 42 cm)"
Boa tarde.  a bracadeira é taamnho maior que 40?,"Olá, boa tarde! Especificações técnicas somente na descrição do produto. Qualquer dúvida ficamos à disposição."
bom dia senhores   comprei o modelo  7122 fiz o pagamento 21/02   HOJE quinta feira 27/02 recebi um aviso dizendo que meu pagamento foi cancelado  entrei na minha conta e vi que o pagamento foi aprovado  conclusão ! não estou entendendo nada   completamente perdido   vocês podem me ajudar ?,"Olá, boa tarde! Qual o número de seu pedido?"
Ola  bom dia! Tem que calibrar?,"Olá, já vai calibrado, pronto para uso. Obrigado."
Calibrar,"Olá caro cliente, informações quanto ao produto, só ligar no 0800 do mesmo, onde serás devidamente orientado. Obrigado."
Tem algum modelo que carregue com cabo usb ou na tomada?,"Olá, boa tarde! Esse tipo de produto é somente a pilhas. A bateria tende a durar bem."
Bom dia   gostaria de saber se a pilha palito ou é aquela pilha pequena normal  pois n entendo quando diz pilha AA ou AAA ....  Poderia me explicar e quantas pilhas vão no aparelho,"Olá, bom dia! São as pilhas AA, a tamanho comum, não a fina."
Boa noite ja vem pronto pra medir a pressão ou tem q calibrar,"Olá, bom dia! Ele vem pronto para medir a pressão."
Bom Dia  estava efetuando a compra  mas estão cobrando frete  sendo que compras acima de 120 00 meu frete é gratis ,"Olá caro cliente, por favor, ver junto ao Olist as politicas quanto ao frete, pois somente realizamos a venda , sobre frete etc, é com o próprio Olist. Obrigado."
???,"Olá, posso ajudar?"
qual valo frete cep 3765000,"ja vamos verificar"
preciso 2 aparelho aí seria só um frete ???,"Olá quanto a valores de frete, só inserir em seu carrinho o cep de destino que o sistema faz todo calculo. Obrigado."
----
Nebulizador De Rede G-tech Nebmesh I Branco E Azul-celeste
Question,Answer
Serve folhas eucalipto   uso muito está marca não tem deles na energia ?,"Bom dia, infelizmente não temos a base de energia."
Serve folhas eucalipto   uso muito está marca não tem deles na energia ?,"Bom dia, infelizmente não temos a base de energia."
Serve folhas eucalipto   uso muito está marca não tem deles na energia ?,"Bom dia, infelizmente não temos deles a base de energia."
O que acompanha? Quais acessórios?,"Boa tarde, o conteúdo do produto é: 1x tampa protetora, 1x câmara para medicamento, 1x máscara tamanho adulta e uma tamanho infantil, x1 inalador bucal, 2 pilhas AA mais uma bolsa para transporte."
Tenho 1 desse e o meu funciona normalmente pelo cabo usb que veio no produto... O seu produto acompanha o cabo usb?,"Bom dia, o produto não acompanha cabo USB, a alimentação dele é a base de pilhas."
acompanha o cabo usb?,"Bom dia, a alimentação do produto é através de pilhas, podem ser pilhas recarregáveis, porém não acompanha."
E original gtech?,"Bom dia, o produto é original sim, adquirimos diretamente com o representante da marca."
O aparelho suporta a adição de 1 gota de oleo essencial junto com o soro fisiologico?,"Bom dia, acredito que não"
Ola  ele é recarregável ou pilha comum?,"Bom dia, tudo bem? Utiliza pilhas"
pode ser utilizado medicação nele? para inalação  como clenil?,"Bom dia, não é recomendado. Agradecemos o seu contato."
recarrega Na tomada Tb?,"Bom dia, apenas a pilhas. Agradecemos o seu contato"
Fiz a compra consegue me enviar amanha mesmo?,"Bom dia! Sim, enviaremos hoje!"
Consegue me enviar ainda essa semana?,"Sim! Até amanhã no máximo"
Boa tarde consegue me enviar ainda essa semana ?,"Sim, amigo! Até amanhã no máximo!"
É possível usá-lo deitado?,"Bom dia! Sim, pois ele não vaza"
Já abri uma reclamação  e até agora não recebi o código de devolução.   Comprei gato por lebre? Escolhi o modelo da foto  e vcs me mandaram o pior é ainda incompleto. Então me explica o que aconteceu? Cadê as qualidades do produto?,"bom dia! ok assim que recebermos o produto faremos a devolução do valor, desculpas pelo ocorrido mas somos uma empresa de responsabilidade e respeito com os clientes."
Vem com cabo usb,"boa tarde! sim amg temos para entrega."
Boa tarde. Quais os tipos de pilhas para recarregar o aparelho? É AA  ou  AAA?,"bom dia! amg ele acompanha o cabo usb e a pilha AA temos pronta para entrega."
Fui enganada  comprei igualzinho a foto. e me entregaram um sem marca  sem a bolsa e não funciona. parece ser segunda linha. na9 c9nfie e não compre.,"bom dia! desculpas mas garantimos que não foi enganada, nossos produto são de excelente qualidade, caso o seu não funcionou por favor pode solicitar um codigo de devolução do produto assim que recebermos faremos a devolução do seu valor."
Eu quero igual da foto e com a bolsa,"É igual o da foto, mas caso não atenda as necessidades, você pode estar solicitando a devolução e em seguida o ressarcimento"
Comprei esse é me entregaram um da mesh.  Esse que comprei era da g- tech  que vem até com a bolsa. me mandaram um outro. Fui tapiada,"Bom dia, tudo bem? Nossos fornecedores nos enviam de forma sortida, e infelizmente mandamos o mais rápido possível. Se o produto não atende suas necessidades, tem a opção de devolução e ressarcimento! Independente da escolha, estamos aqui para ajudar, e nos desculpe pelo engano no envio. Qualquer dúvida estamos a disposição :)"
Funciona a pilha e USB?,"Olá, boa tarde! Sim, funciona com ambos"
boa noite  ñ tem a entrada para o cabo?,"Bom dia! Sim, ele tem entrada para cabo USB. Aguardamos sua compra ;)"
Após a entrega pq vc não da 30 dias de garantia???,"Olá! O Mercado Livre, com o programa "Compra Garantida" dita que alguns produtos podem ser devolvidos em até 30 dias, porém como pode ser visto nas regras do próprio Mercado Livre (nesse link por exemplo https://www.mercadolivre.com.br/ajuda/4292), algumas categorias de produtos estão excluídas desse programa. A categoria "Saúde" é uma dessas. Portanto, o Mercado Livre não se propõe em devoluções para esse produto. Entretanto, vale ressaltar que segundo o Código de Defesa do Consumidor, os consumidores tem 30 dias de garantia (para bens não duráveis) eu 90 dias de garantia (para bens duráveis), dessa forma, segundo a Lei existe uma garantia para esse produto. Apesar do Mercado Livre não oferecer garantia para esse produto, nós cumprimos os requisitos legais e, se houver defeito no produto, você pode acionar a garantia conosco. Outro detalhe importante, é que para esse Inalador e Nebulizador, o fabricante oferece 3 anos de garantia, dessa forma caso haja defeito no período de 3 anos, é possível acionar a garantia com o próprio fabricante."
nao entendi nada...no mercado livre..a regra nao eh de 30 dias????,"Olá, bom dia! Agradeço pelo contato. Acredito que esteja se referindo à entrega, nesse caso, o prazo de entrega é calculado pelo próprio Mercado Livre, ele leva em conta coisas como as localizações do Vendedor e do Comprador e a transportadora que melhor se encaixar. Vale lembrar que devido ao fim de ano os prazos de entrega dos Correios e outras Transportadoras podem aumentar, o que também altera o prazo estimado pelo Mercado Livre e, por isso, podem passar de 30 dias em alguns casos."
